Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/de/kb/website-erlaubt-firefox-nicht-die-seite-anzuzeigen,"184,918","166,691",00:03:58,"164,353",43.00%,87.98%,$0.00
/en-US/kb/block-autoplay,"180,565","158,746",00:03:43,"130,295",28.01%,79.24%,$0.00
/es/kb/actualizar-firefox-la-ultima-version,"179,922","143,060",00:02:29,"91,094",7.77%,63.21%,$0.00
/en-US/kb/keyboard-shortcuts-perform-firefox-tasks-quickly,"178,419","139,993",00:02:54,"118,652",7.28%,65.81%,$0.00
/es/kb/opciones-preferencias-y-configuracion-de-firefox,"178,102","157,353",00:02:34,"141,338",26.91%,70.79%,$0.00
/zh-CN/products/mobile,"177,276","120,250",00:01:36,"96,583",52.82%,52.53%,$0.00
/de/kb/haufige-missverstandnisse-surfen-im-privaten-modus,"176,222","151,683",00:02:46,"147,111",35.10%,79.69%,$0.00
/cs/kb/reseni-chybovych-hlaseni-chyba-zabezpeceneho-spoje,"176,046","150,700",00:03:27,"149,322",50.31%,83.10%,$0.00
/de/kb/firefox-von-der-taskleiste-windows-10-ablosen?redirectslug=how-unpin-firefox-taskbar-windows-10&redirectlocale=en-US,"175,858","158,618",00:03:11,"152,665",8.38%,76.94%,$0.00
/zh-CN/kb/Firefox for Android 的增强跟踪保护?redirectslug=tracking-protection-firefox-android&redirectlocale=en-US,"173,309","102,446",00:01:54,"91,173",25.87%,57.07%,$0.00
/en-US/kb/disable-or-remove-add-ons,"171,583","136,627",00:01:54,"111,690",17.21%,68.27%,$0.00
/de/kb/firefox-auf-die-letzte-version-aktualisieren?entrypoint=mozilla.org-whatsnew115,"171,237","138,639",00:02:04,"138,455",10.60%,76.89%,$0.00
/de/kb/passworter-verwalten-speichern-loeschen-aendern,"171,193","149,357",00:02:55,"132,703",15.31%,70.62%,$0.00
/tr/kb/guvenli-baglanti-kurulamadi-hata-sorun-giderme,"170,617","140,638",00:02:59,"138,618",41.18%,77.72%,$0.00
/ja/kb/insecure-password-warning-firefox,"169,784","156,164",00:03:22,"155,425",62.68%,91.18%,$0.00
/de/kb/Uebersichtliche-Darstellung-von-Webseiten-mit-der-Leseansicht?entrypoint=mozilla.org-whatsnew117,"167,463","146,325",00:01:54,"146,056",15.04%,83.88%,$0.00
/da/kb/thunderbirds-spamfilter,"167,414","82,064",00:02:16,"80,883",16.32%,48.04%,$0.00
/en-US/kb/end-support-windows-xp-and-vista,"167,023","137,303",00:03:36,"131,770",27.70%,75.10%,$0.00
/en-US/kb/firefox-uses-too-much-memory-or-cpu-resources,"166,993","133,066",00:01:43,"100,466",6.05%,48.12%,$0.00
/zh-CN/kb/windows-10-warns-me-use-microsoft-verified-app,"164,078","150,030",00:02:30,"148,057",18.50%,83.25%,$0.00
/es/kb/actualizar-firefox-la-ultima-version?redirectslug=update-firefox-latest-version&redirectlocale=en-US,"162,177","106,987",00:02:33,"101,449",18.25%,56.22%,$0.00
/en-US/kb/cookies-information-websites-store-on-your-computer?redirectlocale=en-US&redirectslug=Cookies,"159,126","131,461",00:00:56,"129,989",16.43%,48.05%,$0.00
/en-US/questions/new/desktop,"158,765","132,202",00:01:02,"13,502",45.55%,23.51%,$0.00
/en-US/kb/update-firefox-latest-release?entrypoint=mozilla.org-whatsnew117,"157,310","128,119",00:02:00,"128,072",12.06%,74.83%,$0.00
/fr/kb/badges-modules-complementaires,"154,811","135,719",00:02:10,"134,502",26.05%,79.00%,$0.00
/zh-TW/kb/secure-connection-failed-firefox-did-not-connect,"154,661","122,541",00:02:52,"120,455",51.90%,75.46%,$0.00
/en-US/kb/find-what-version-firefox-you-are-using,"154,606","136,703",00:01:27,"80,101",12.73%,54.95%,$0.00
/en-US/questions/new,"153,961","117,946",00:00:29,"23,585",35.84%,16.71%,$0.00
